BCPS;SAP;Loja;Area Total;Caixas;Qtd Prateleiras;Esp Conv;Copa;Escritorio;Shopping;HorasOperacionais
21123;4047;AREINHA;;;;;;;;
21767;4094;CAMPINA GRANDE;135,65;6;40;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;12
23772;A108;CANGUARETAMA;;;;;;;;
20924;4039;CARUTAPERA;;;;;;;;
21270;4052;CEARÁ-MIRIM;;;;;;;;
19595;4037;CENTRO MOSSORÓ;;;;;;;;
21422;4064;CIDADE OPERARIA;;;;;;;;
21559;4082;CONDE;;;;;;;;
24582;A120;ER CAMOCIM;;;;;;;;
24591;A129;ER ITAPIPOCA;;;;;;;;
12488;4020;EXTREMOZ;62,69;2;25;FALSO;FALSO;FALSO;FALSO;10
23258;4096;GOIANINHA;287,14;3;59;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;10
20922;4040;GOV. NUNES FREIRE;;;;;;;;
21561;4080;ITABAIANA;86,55;3;28;FALSO;VERDADEIRO;VERDADEIRO;FALSO;10
23660;A114;JOÃO CÂMARA;;;;;;;;
21232;4026;LAGOA SECA;;;;;;;;
21316;4051;MACAU;;;;;;;;
20923;4041;MARACAÇUMÉ;;;;;;;;
21124;4048;MARAJÓ;;;;;;;;
21736;4054;NEVALDO ROCHA;353,24;6;85;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;10
20836;4050;NORTE SHOPPING;352,9;6;62;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;12
23768;A102;NOVA CRUZ;;;;;;;;
21415;4056;PARACURU;51,73;2;19;FALSO;VERDADEIRO;FALSO;FALSO;10
21413;4059;PARAIPABA;87,09;2;43;VERDADEIRO;FALSO;FALSO;FALSO;10
24088;4097;PARNAMIRIM;247,44;7;61;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;10
21411;4055;PECÉM;;;;;;;;
21414;4057;PENTECOSTE;;;;;;;;
23775;A113;SANTA CRUZ HÍBRIDA;;;;;;;;
20934;4038;SANTA INÊS;;;;;;;;
20925;4042;SANTA LUZIA DO PARUÁ;;;;;;;;
20933;4043;SANTA LUZIA DO TIDE;;;;;;;;
23779;A112;SANTO ANTÔNIO HÍBRIDA;;;;;;;;
21365;4058;SÃO GONÇALO CE;;;;;;;;
20156;4028;SÃO GONÇALO DO AMARANTE;;;;;;;;
23716;A105;SÃO PAULO DO POTENGI;;;;;;;;
23776;A106;TANGARÁ HÍBRIDA;;;;;;;;
21376;4053;TOUROS;;;;;;;;
21412;4060;TRAIRI;83,64;2;25;FALSO;FALSO;VERDADEIRO;FALSO;10
21125;4049;TURU;;;;;;;;
20932;4045;ZÉ DOCA;;;;;;;;
